sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
		NA NA						host of			Hexacontium pachydermum										10.1016/j.protis.2006.07.004	(Dolven et al. 2007)⁠
		NA NA						host of			Dinothrix paradoxa										http://scholar.google.com/scholar.bib?q=info:vV8bNca5N3EJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAUJvgIllQKx7Viw_IR_UUaFri4MeTAURK&scisf=4&hl=en&num=100&as_sdt=0,5	(Horiguchi & Chihara 1993)⁠⁠
		NA NA						host of			Peridinium quinquecorne										10.1515/botm.1991.34.2.123	(Horiguchi & Pienaar 1991)⁠
		NA NA						host of			Durinskia capensis										10.1007/s10265-006-0047-y	(Pienaar et al. 2007)⁠
		NA NA						host of			Galeidinium rugatum										10.1111/j.1529-8817.2005.00085.x	(Tamura et al. 2005)⁠
		NA NA						host of			Durinskia baltica										10.1111/j.1529-8817.1973.tb04098.x	(Tomas & Cox 1973)⁠
		Thalassiosira weissflogii						host of			Bacteria 										10.1111/j.1574-6941.2002.tb00992.x	(Schäfer et al. 2002)
		Asterionella glacialis						host of			Alphaproteobacteria 										10.1111/j.1574-6941.2002.tb00992.x	(Schäfer et al. 2002)
		Chaetoceros socialis						host of			CFB 										10.1111/j.1574-6941.2002.tb00992.x	(Schäfer et al. 2002)
		Leptocylindrus danicus						host of			Bacteria 										10.1111/j.1574-6941.2002.tb00992.x	(Schäfer et al. 2002)
		Coscinodiscus 						host of			Bacteria 										10.1111/j.1574-6941.2002.tb00992.x	(Schäfer et al. 2002)
		Pseudo-nitzschia 						host of			Roseobacter 										10.1128/MMBR.00007-12	(Amin et al. 2012)
		Pseudo-nitzschia 						host of			Gammaproteobacteria 										10.1128/MMBR.00007-12	(Amin et al. 2012)
